"l4_pcode","date_start","ch_pcfl","ch_sviol","ch_cviol","st_crctrl","st_tactrl","st_confront","st_destroy","al_nviol","al_viol","time","l1_pcode","l1_ar","l1_en","l2_pcode","l2_ar","l2_en","l3_pcode","l3_ar","l3_en","l4_ar","l4_en","p1","p2","p3"
"C3096",2012-02-24,0,0,0,0,1,0,0,0,0,388,"SY05","حماة","Hama","SY0501","مركز حماة","Hama","SY050103","الحمراء","Hamra","الحمراء","Hamra",0,0,1
"C3441",2012-07-22,0,0,0,0,1,0,0,0,0,537,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","خربة سوبين","Kherbet Subin",0,0,1
"C3441",2012-02-24,0,0,0,0,1,0,0,0,0,388,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","خربة سوبين","Kherbet Subin",0,0,1
"C3456",2012-07-15,0,0,0,0,1,0,0,0,0,530,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","معرزاف","Maarzaf",0,0,1
"C3456",2012-06-06,0,0,0,0,0,0,0,0,1,491,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","معرزاف","Maarzaf",0,0,1
"C3456",2012-02-24,0,0,0,0,1,0,0,0,0,388,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","معرزاف","Maarzaf",0,0,1
"C3456",2012-02-26,0,0,0,0,1,0,0,0,0,390,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","معرزاف","Maarzaf",0,0,1
"C3877",2012-07-30,0,0,0,0,1,0,0,0,0,545,"SY07","إدلب","Idleb","SY0700","مركز إدلب","Idleb","SY070000","مركز إدلب","Idleb","فيلون","Falyun",0,0,1
"C3877",2012-02-24,0,1,0,0,0,0,0,0,0,388,"SY07","إدلب","Idleb","SY0700","مركز إدلب","Idleb","SY070000","مركز إدلب","Idleb","فيلون","Falyun",0,0,1
"C4255",2012-02-24,0,0,1,0,0,1,0,0,0,388,"SY07","إدلب","Idleb","SY0704","جسر الشغور","Jisr-Ash- Shugur","SY070403","الجانودية","Janudiyeh","الجانودية","Janudiyeh",0,0,1
"C4255",2012-03-12,0,0,1,0,0,1,0,0,0,405,"SY07","إدلب","Idleb","SY0704","جسر الشغور","Jisr-Ash- Shugur","SY070403","الجانودية","Janudiyeh","الجانودية","Janudiyeh",0,0,1
"C4290",2012-02-24,0,0,0,0,1,0,0,0,0,388,"SY07","إدلب","Idleb","SY0705","أريحا","Ariha","SY070500","مركز أريحا","Ariha","معترم","Motaram",0,0,1
"C5132",2012-02-24,0,0,0,0,1,0,0,0,0,388,"SY09","دير الزور","Deir-ez-Zor","SY0901","مركز دير الزور","Deir-ez-Zor","SY090104","التبني","Tabni","الخريطة","Kharita",0,0,1
"C3444",2012-02-26,0,0,0,0,1,0,0,0,0,390,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050500","مركز محردة","Muhradah","المجدل","Majdal",0,0,1
"C3920",2012-02-26,0,0,0,0,1,0,0,0,0,390,"SY07","إدلب","Idleb","SY0700","مركز إدلب","Idleb","SY070003","سراقب","Saraqab","افس","Afs",0,0,1
"C6033",2012-07-09,0,0,1,0,0,0,0,0,0,524,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120005","مزيريب","Mzeireb","تل شهاب","Tal Shihab",0,0,1
"C6033",2012-02-27,0,0,1,0,1,0,0,0,0,391,"SY12","درعا","Dar'a","SY1200","درعا","Dar'a","SY120005","مزيريب","Mzeireb","تل شهاب","Tal Shihab",0,0,1
"C2574",2012-02-29,0,0,0,0,0,0,1,0,0,393,"SY04","حمص","Homs","SY0401","مركز حمص","Homs","SY040102","خربة تين نور","Kherbet Tin Noor","رام العنز","Ram Elanz",0,0,1
"C2309",2012-03-03,0,0,1,0,0,1,0,0,0,396,"SY03","ريف دمشق","Rural Damascus","SY0301","مركز ريف دمشق","Rural Damascus","SY030104","المليحة","Maliha","دير العصافير","Deir Elasafir",0,0,1
"C2309",2012-07-09,0,0,0,0,1,0,0,0,0,524,"SY03","ريف دمشق","Rural Damascus","SY0301","مركز ريف دمشق","Rural Damascus","SY030104","المليحة","Maliha","دير العصافير","Deir Elasafir",0,0,1
"C2309",2012-06-11,0,0,0,0,1,0,0,0,0,496,"SY03","ريف دمشق","Rural Damascus","SY0301","مركز ريف دمشق","Rural Damascus","SY030104","المليحة","Maliha","دير العصافير","Deir Elasafir",0,0,1
"C3111",2012-03-04,0,0,0,0,1,0,0,0,0,397,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050200","مركز السقيلبية","As- Suqaylabiyah","حيالين","Hiyalin",0,0,1
"C3111",2012-05-13,0,0,0,0,0,0,1,0,0,467,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050200","مركز السقيلبية","As- Suqaylabiyah","حيالين","Hiyalin",0,0,1
"C3468",2012-03-04,0,0,0,0,1,0,0,0,0,397,"SY05","حماة","Hama","SY0505","محردة","Muhradah","SY050502","كرناز","Karnaz","الجلمة","Jalma",0,0,1
"C6114",2012-03-04,0,0,1,0,0,1,0,0,0,397,"SY12","درعا","Dar'a","SY1203","ازرع","Izra'","SY120302","الحراك","Hrak","المليحة الغربية","Western Maliha",0,0,1
"C2416",2012-04-28,0,0,1,0,0,1,1,0,0,452,"SY03","ريف دمشق","Rural Damascus","SY0305","يبرود","Yabroud","SY030500","مركز يبرود","Yabroud","يبرود","Yabroud",0,0,1
"C2416",2012-03-05,0,0,0,0,1,0,0,0,0,398,"SY03","ريف دمشق","Rural Damascus","SY0305","يبرود","Yabroud","SY030500","مركز يبرود","Yabroud","يبرود","Yabroud",0,0,1
"C2416",2012-04-07,0,0,0,0,1,0,0,0,0,431,"SY03","ريف دمشق","Rural Damascus","SY0305","يبرود","Yabroud","SY030500","مركز يبرود","Yabroud","يبرود","Yabroud",0,0,1
"C3983",2012-03-06,0,1,0,0,0,0,0,0,0,399,"SY07","إدلب","Idleb","SY0702","معرة النعمان","Al Ma'ra","SY070200","مركز معرة النعمان","Ma'arrat An Nu'man","معر شمارين","Maar Shamarin",0,0,1
"C3178",2012-04-22,0,1,0,0,0,0,0,0,0,446,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050203","شطحة","Shat-ha","جورين","Jorin",0,0,1
"C3178",2012-03-07,0,1,0,0,0,0,0,0,0,400,"SY05","حماة","Hama","SY0502","السقيلبية","As- Suqaylabiyah","SY050203","شطحة","Shat-ha","جورين","Jorin",0,0,1
