age,educ,gender,rural,income,income_ln,gorman_secisl,voteisl,pious_off,cleric_inf,relig,sec_index,dem_index
36,6,1,0,800,6.6846118,3,1,3,3,2,2.2857144,3
21,3,0,0,800,6.6846118,2,0,1,1,1,4,3
41,6,0,0,4500,8.4118328,3,,1,1,1,4.2857141,1.6666666
56,2,0,0,400,5.9914646,5,1,4,4,3,1.2857143,3.3333333
42,2,0,0,9999996,,3,0,3,3,1,1.5714285,3
46,1,0,0,300,5.7037826,,0,2,3,1,2.4285715,3
70,3,0,0,970,6.877296,2,0,2,1,1,2,3
65,4,0,0,2500,7.8240461,3,0,2,2,2,2.7142856,2.3333333
23,3,0,0,9999998,,,0,2,2,1,3.8571429,1.3333334
19,5,0,0,9999996,,,0,3,2,2,2.2857144,3.3333333
21,3,0,0,250,5.521461,3,1,2,2,2,2.1428571,3
36,3,1,0,600,6.3969297,5,0,1,1,2,3.5714285,3
54,4,1,0,1500,7.3132205,2,0,2,2,1,3.4285715,3.3333333
58,1,1,0,9999996,,,0,2,2,1,2.5714285,2
23,4,1,0,9999998,,3,0,2,2,2,3,2
46,4,1,0,980,6.8875527,3,0,2,2,1,2.5714285,2.3333333
55,1,0,0,300,5.7037826,,0,3,2,1,2,2.6666667
23,4,0,0,1500,7.3132205,3,0,2,2,2,3.7142856,2.3333333
23,6,1,0,9999996,,,0,2,2,2,2.1428571,3
29,1,1,0,500,6.2146082,,0,3,,3,3,2.6666667
47,3,1,0,400,5.9914646,1,0,2,2,2,2.5714285,1.6666666
50,2,0,0,600,6.3969297,3,0,2,2,1,1.7142857,2
21,4,0,0,1300,7.1701198,,0,1,1,1,5,2.3333333
50,3,1,0,150,5.0106354,5,0,4,4,2,1.4285715,2.3333333
24,5,1,0,400,5.9914646,3,0,2,2,1,4.2857141,3
69,2,0,0,9999996,,3,1,3,3,2,2,3
36,2,0,0,900,6.8023949,3,1,2,2,2,2.1428571,2.6666667
38,3,0,0,700,6.5510802,3,1,2,2,2,2,3
19,4,1,0,250,5.521461,3,0,2,2,,3.7142856,2.6666667
50,5,0,0,9999996,,5,0,4,4,3,1,3
45,2,1,0,300,5.7037826,5,0,4,4,3,1.7142857,2
19,4,0,0,800,6.6846118,1,0,1,1,1,3.4285715,3
52,3,1,0,600,6.3969297,3,0,2,2,2,2.2857144,3
19,4,1,0,300,5.7037826,3,0,1,1,2,2.8571429,3.6666667
60,2,1,0,400,5.9914646,3,,2,1,,,3
42,3,0,0,200,5.2983174,3,1,2,2,2,2.7142856,3
21,1,1,1,400,5.9914646,5,0,3,2,2,3.2857144,2.3333333
35,2,0,1,250,5.521461,3,0,4,4,1,3.4285715,2.6666667
24,4,0,1,400,5.9914646,2,0,2,2,2,,3.6666667
41,3,0,1,500,6.2146082,3,1,3,3,3,1.8571428,2.3333333
39,2,0,1,350,5.857933,2,0,2,3,2,3.5714285,2.3333333
54,2,0,1,350,5.857933,2,,1,1,2,,2.3333333
27,6,1,1,2500,7.8240461,3,0,2,3,2,3.1428571,3
49,1,1,1,240,5.480639,2,0,2,,2,2.5714285,3.6666667
60,1,1,1,250,5.521461,,0,3,2,2,2.1428571,2
23,3,1,1,500,6.2146082,,1,3,3,3,2.7142856,3
36,6,1,0,700,6.5510802,3,,2,2,2,3.8571429,3
40,5,1,0,1000,6.9077554,2,,2,2,2,3,3.6666667
32,1,1,0,400,5.9914646,,,,2,2,2.8571429,3
25,5,0,0,500,6.2146082,2,0,2,2,2,3.4285715,3
51,4,0,0,800,6.6846118,2,0,2,2,2,3.2857144,3.3333333
30,2,1,0,450,6.1092477,2,0,2,2,2,3,3.3333333
24,5,1,0,800,6.6846118,3,0,,2,2,2.7142856,2.3333333
21,2,0,0,400,5.9914646,,0,,,2,3.8571429,2
54,2,0,0,9999996,,3,,2,3,2,2.2857144,3
50,2,0,0,1300,7.1701198,3,0,3,3,2,2.8571429,2.6666667
53,2,1,0,500,6.2146082,2,0,3,2,3,2.2857144,2
52,3,1,0,800,6.6846118,3,0,3,1,3,2.2857144,3
46,2,1,0,300,5.7037826,3,1,2,,3,2.7142856,3
58,1,1,0,700,6.5510802,5,1,4,4,3,1.5714285,2.3333333
39,4,0,0,450,6.1092477,3,0,2,2,1,3.4285715,2
28,4,0,0,900,6.8023949,1,0,1,1,1,3,1
40,1,0,0,300,5.7037826,1,0,1,1,1,2.8571429,2.6666667
39,5,0,0,1600,7.377759,2,0,2,3,2,2.8571429,3.3333333
61,4,0,0,2000,7.6009026,2,0,3,2,1,1.5714285,3
23,5,1,0,3000,8.0063677,3,,,2,2,2.2857144,4
40,4,0,0,400,5.9914646,2,0,2,2,1,2.8571429,1.6666666
36,4,0,0,500,6.2146082,3,0,2,2,2,2.5714285,3.6666667
35,4,0,0,2000,7.6009026,3,0,2,2,2,3.7142856,3.6666667
40,4,1,0,300,5.7037826,3,0,2,2,1,3.5714285,3.6666667
53,2,0,0,400,5.9914646,3,0,3,2,2,2.7142856,1.6666666
61,1,1,0,600,6.3969297,2,0,3,3,3,1.8571428,2
48,4,0,0,450,6.1092477,2,,2,2,2,2.7142856,1.3333334
19,4,1,0,300,5.7037826,2,0,2,2,1,3.8571429,3
23,5,0,0,1000,6.9077554,2,0,1,1,1,3.7142856,2
34,4,1,0,1200,7.0900769,3,,2,2,2,2.8571429,3.3333333
27,4,0,0,1450,7.2793188,3,0,1,1,2,3.1428571,2.6666667
19,4,1,0,9999998,,3,0,1,1,1,2.8571429,1.3333334
40,1,1,0,9999996,,4,0,2,,2,3.1428571,3
63,1,1,0,9999996,,3,0,,,2,2.7142856,1.6666666
60,1,1,0,385,5.9532433,5,1,2,3,2,2.1428571,1.6666666
47,2,1,0,280,5.6347895,,0,,,2,2.5714285,2
33,5,0,0,600,6.3969297,3,0,2,2,2,3.5999999,3.3333333
47,4,0,0,300,5.7037826,5,1,3,3,3,1.2857143,2.6666667
42,2,0,0,700,6.5510802,3,0,2,2,2,2.5714285,3.6666667
56,2,0,0,2520,7.8320141,3,0,2,2,1,3.8571429,2.3333333
42,2,0,0,9999996,,3,0,3,3,1,2.1428571,2.3333333
23,5,1,0,500,6.2146082,3,0,2,2,1,4,1.6666666
61,1,1,0,300,5.7037826,3,,4,2,3,3.1428571,2.6666667
31,2,1,0,500,6.2146082,3,1,2,2,2,3.5714285,3
65,1,0,0,250,5.521461,3,1,3,2,3,1.8571428,2
