"","STIAT.test","STIAT.practice","approve_abdel_rev","democracy1","democracy2","democracy3","democracy4","democracy5","edu","frisun_services","gender","income","list_1a","list_1b","list_2a","list_2b","list2a.clean","list2b.clean","religion","direct.support","implicit.support","rel_christian","rel_muslim","work_govemp","location","region","islamist","liberal"
"287",-0.5980951,-0.224148245,2,2,3,1,4,4,5,3,1,2,0,0,1,0,1,NA,2,0,0,1,0,0,"alexandria","alex",0,1
"288",-0.188944188,-0.126542634,2,3,1,1,3,3,5,1,1,3,0,0,0,2,NA,2,1,0,0,0,1,1,"alexandria","alex",0,0
"289",-0.078794837,0.013948366,2,3,3,4,4,4,3,3,1,1,0,0,3,0,3,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"290",0.447674929,0.023024417,3,3,2,2,4,4,5,1,1,2,0,0,0,0,NA,NA,1,1,1,0,1,0,"giza","cairo",0,0
"291",0.470174459,0.630918365,4,2,2,3,3,3,5,1,1,3,0,0,0,2,NA,2,1,1,1,0,1,0,"beheira","delta",0,0
"292",0.272326425,0.421545581,3,2,3,2,NA,NA,5,1,1,3,0,0,0,3,NA,3,1,1,1,0,1,0,"cairo","cairo",NA,NA
"293",-0.300361867,0.40260813,NA,NA,3,NA,4,4,6,3,1,3,0,0,0,1,NA,1,2,NA,0,1,0,1,"giza","cairo",0,NA
"294",0.374713292,0.516656926,3,1,4,2,NA,3,5,1,1,2,0,0,0,2,NA,2,1,1,1,0,1,0,"gharbia","delta",0,0
"295",0.13914987,0.109184688,2,2,2,2,2,3,5,1,1,2,0,0,0,1,NA,1,1,0,1,0,1,0,"cairo","cairo",0,0
"296",0.559183093,0.438295927,2,2,2,2,2,2,5,1,1,1,0,0,0,0,NA,NA,1,0,1,0,1,1,"qena","upper",1,0
"297",-0.208974378,-0.179354345,2,1,4,2,3,3,5,3,1,2,0,0,0,0,NA,NA,1,0,0,0,1,1,"gharbia","delta",0,0
"298",0.505698314,0.226959228,2,3,2,2,4,4,5,1,1,3,0,0,1,0,1,NA,1,0,1,0,1,0,"cairo","cairo",0,0
